id,source,source_url,exercise_id,variation_id,sex,bodyweight_label_lb,bodyweight_reference_kg,bodyweight_min_kg,bodyweight_max_kg,level,metric,value_kg,source_value_lb,notes
legion-male-bench-press-114-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,114,51.7,,53.8,beginner,absolute_e1rm,38.1,84,Original Legion chart lift name: Bench Press. Source row bodyweight: 114 lb. Converted from 84 lb to 38.1 kg.
legion-male-bench-press-114-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,114,51.7,,53.8,novice,absolute_e1rm,48.5,107,Original Legion chart lift name: Bench Press. Source row bodyweight: 114 lb. Converted from 107 lb to 48.5 kg.
legion-male-bench-press-114-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,114,51.7,,53.8,intermediate,absolute_e1rm,59,130,Original Legion chart lift name: Bench Press. Source row bodyweight: 114 lb. Converted from 130 lb to 59 kg.
legion-male-bench-press-114-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,114,51.7,,53.8,advanced,absolute_e1rm,81.2,179,Original Legion chart lift name: Bench Press. Source row bodyweight: 114 lb. Converted from 179 lb to 81.2 kg.
legion-male-bench-press-114-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,114,51.7,,53.8,elite,absolute_e1rm,100.7,222,Original Legion chart lift name: Bench Press. Source row bodyweight: 114 lb. Converted from 222 lb to 100.7 kg.
legion-male-bench-press-123-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,123,55.8,53.8,57.8,beginner,absolute_e1rm,41.3,91,Original Legion chart lift name: Bench Press. Source row bodyweight: 123 lb. Converted from 91 lb to 41.3 kg.
legion-male-bench-press-123-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,123,55.8,53.8,57.8,novice,absolute_e1rm,52.6,116,Original Legion chart lift name: Bench Press. Source row bodyweight: 123 lb. Converted from 116 lb to 52.6 kg.
legion-male-bench-press-123-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,123,55.8,53.8,57.8,intermediate,absolute_e1rm,64.4,142,Original Legion chart lift name: Bench Press. Source row bodyweight: 123 lb. Converted from 142 lb to 64.4 kg.
legion-male-bench-press-123-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,123,55.8,53.8,57.8,advanced,absolute_e1rm,88,194,Original Legion chart lift name: Bench Press. Source row bodyweight: 123 lb. Converted from 194 lb to 88 kg.
legion-male-bench-press-123-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,123,55.8,53.8,57.8,elite,absolute_e1rm,109.8,242,Original Legion chart lift name: Bench Press. Source row bodyweight: 123 lb. Converted from 242 lb to 109.8 kg.
legion-male-bench-press-132-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,132,59.9,57.8,63.5,beginner,absolute_e1rm,44.5,98,Original Legion chart lift name: Bench Press. Source row bodyweight: 132 lb. Converted from 98 lb to 44.5 kg.
legion-male-bench-press-132-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,132,59.9,57.8,63.5,novice,absolute_e1rm,56.7,125,Original Legion chart lift name: Bench Press. Source row bodyweight: 132 lb. Converted from 125 lb to 56.7 kg.
legion-male-bench-press-132-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,132,59.9,57.8,63.5,intermediate,absolute_e1rm,69.4,153,Original Legion chart lift name: Bench Press. Source row bodyweight: 132 lb. Converted from 153 lb to 69.4 kg.
legion-male-bench-press-132-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,132,59.9,57.8,63.5,advanced,absolute_e1rm,94.3,208,Original Legion chart lift name: Bench Press. Source row bodyweight: 132 lb. Converted from 208 lb to 94.3 kg.
legion-male-bench-press-132-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,132,59.9,57.8,63.5,elite,absolute_e1rm,117.9,260,Original Legion chart lift name: Bench Press. Source row bodyweight: 132 lb. Converted from 260 lb to 117.9 kg.
legion-male-bench-press-148-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,148,67.1,63.5,71,beginner,absolute_e1rm,49.4,109,Original Legion chart lift name: Bench Press. Source row bodyweight: 148 lb. Converted from 109 lb to 49.4 kg.
legion-male-bench-press-148-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,148,67.1,63.5,71,novice,absolute_e1rm,63.5,140,Original Legion chart lift name: Bench Press. Source row bodyweight: 148 lb. Converted from 140 lb to 63.5 kg.
legion-male-bench-press-148-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,148,67.1,63.5,71,intermediate,absolute_e1rm,78,172,Original Legion chart lift name: Bench Press. Source row bodyweight: 148 lb. Converted from 172 lb to 78 kg.
legion-male-bench-press-148-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,148,67.1,63.5,71,advanced,absolute_e1rm,106.1,234,Original Legion chart lift name: Bench Press. Source row bodyweight: 148 lb. Converted from 234 lb to 106.1 kg.
legion-male-bench-press-148-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,148,67.1,63.5,71,elite,absolute_e1rm,132,291,Original Legion chart lift name: Bench Press. Source row bodyweight: 148 lb. Converted from 291 lb to 132 kg.
legion-male-bench-press-165-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,165,74.8,71,78.5,beginner,absolute_e1rm,54,119,Original Legion chart lift name: Bench Press. Source row bodyweight: 165 lb. Converted from 119 lb to 54 kg.
legion-male-bench-press-165-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,165,74.8,71,78.5,novice,absolute_e1rm,68.9,152,Original Legion chart lift name: Bench Press. Source row bodyweight: 165 lb. Converted from 152 lb to 68.9 kg.
legion-male-bench-press-165-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,165,74.8,71,78.5,intermediate,absolute_e1rm,84.8,187,Original Legion chart lift name: Bench Press. Source row bodyweight: 165 lb. Converted from 187 lb to 84.8 kg.
legion-male-bench-press-165-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,165,74.8,71,78.5,advanced,absolute_e1rm,115.7,255,Original Legion chart lift name: Bench Press. Source row bodyweight: 165 lb. Converted from 255 lb to 115.7 kg.
legion-male-bench-press-165-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,165,74.8,71,78.5,elite,absolute_e1rm,144.7,319,Original Legion chart lift name: Bench Press. Source row bodyweight: 165 lb. Converted from 319 lb to 144.7 kg.
legion-male-bench-press-181-beginner,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,181,82.1,78.5,86,beginner,absolute_e1rm,58.1,128,Original Legion chart lift name: Bench Press. Source row bodyweight: 181 lb. Converted from 128 lb to 58.1 kg.
legion-male-bench-press-181-novice,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,181,82.1,78.5,86,novice,absolute_e1rm,74.4,164,Original Legion chart lift name: Bench Press. Source row bodyweight: 181 lb. Converted from 164 lb to 74.4 kg.
legion-male-bench-press-181-intermediate,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,181,82.1,78.5,86,intermediate,absolute_e1rm,91.2,201,Original Legion chart lift name: Bench Press. Source row bodyweight: 181 lb. Converted from 201 lb to 91.2 kg.
legion-male-bench-press-181-advanced,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,181,82.1,78.5,86,advanced,absolute_e1rm,124.7,275,Original Legion chart lift name: Bench Press. Source row bodyweight: 181 lb. Converted from 275 lb to 124.7 kg.
legion-male-bench-press-181-elite,Legion Athletics strength standards,https://legionathletics.com/strength-standards/,bench-press,bench-press__standard,male,181,82.1,78.5,86,elite,absolute_e1rm,155.6,343,Original Legion chart lift name: Bench Press. Source row bodyweight: 181 lb. Converted from 343 lb to 155.6 kg.
