id,source,source_url,cycle,sex,age_min,age_max,metric,percentile,value,unit,sample_n,weighted_sample_sum,source_file,source_variable,notes
nhanes-2017-2018-male-18-29-body_weight_kg-p5,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,5,57.7,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p10,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,10,60.4,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p25,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,25,67.0,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p50,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,50,80.0,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p75,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,75,98.3,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p90,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,90,116.4,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-18-29-body_weight_kg-p95,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,18,29,body_weight_kg,95,127.3,kg,501,25981848.936,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p5,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,5,65.8,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p10,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,10,72.2,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p25,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,25,78.6,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p50,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,50,89.9,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p75,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,75,105.1,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p90,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,90,123.0,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-30-39-body_weight_kg-p95,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,30,39,body_weight_kg,95,137.7,kg,358,20503705.8408,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
nhanes-2017-2018-male-40-49-body_weight_kg-p5,NHANES 2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.htm,2017-2018,male,40,49,body_weight_kg,5,67.2,kg,367,19134997.5422,BMX_J,BMXWT,"Weighted with WTMEC2YR. DXA metrics require DXAEXSTS=1 and region invalidity flags where applicable. US population reference; use for scale, not as an athlete-specific ideal."
